InstructorName,ProjectID,CompanyName,ProjectTitle,Confidentiality,IP,CourseTime,CourseName,PhysicalPrototype,
Verbanec Al,86cab326-9ab5-4,PSU SEDTAPP and the Epic Foundation,Chatbot Support for Complex Engineering Design through Slack,0,0,T R 11:15 am-1:10 pm,CMPSC 483.002,0,
Verbanec Al,2f393e6c-77ef-4,PSU SEDTAPP with Rexnord,Design of a Versatile Cloud Computing Platform for Additive Manufacturing Analysis,0,0,T R 11:15 am-1:10 pm,CMPSC 483.002,0,
Verbanec Al,e94dd318-c2ba-4,PSU Service Enterprise Engineering (SEE 360) 5,Organ Allocation/Distribution,0,0,T R 8:00 am-9:55 am,CMPSC 483.001,0,
Verbanec Al,877334da-90a3-4,QuantaVerse LLC,Enhanced Architecture for QuantaVerse AI Financial Crime Risk Models.,1,1,T R 8:00 am-9:55 am,CMPSC 483.001,0,
Verbanec Al,2b06edc0-f592-4,Westinghouse Electric Company LLC,Structural Analysis Post-Processing Java Tool,1,1,T R 11:15 am-1:10 pm,CMPSC 483.002,0,
Wang Donghai,2e32e832-f190-4,B. Braun Medical Inc,Computer Modelling Metadata Plan,1,1,T R 11:15 am-1:10 pm,M E 440.005,0,
Wang Donghai,e53b5272-6e0c-4,GE-Hitachi Nuclear Energy Americas LLC,PRISM Carousel for Used Fuel Buffer Storage,1,1,T R 11:15 am-1:10 pm,M E 440.005,0,
Wang Donghai,0bcd7c8b-14cb-42,Hhg Drums 2,Snare drum and drum set lug strainer and butt plate design prototype and prepped for manufacturer - Team 2,0,0,T R 11:15 am-1:10 pm,M E 440.005,1,
Wang Donghai,12fb7a25-1fad-4,John Crane,Power consumption test rig,1,0,T R 11:15 am-1:10 pm,M E 440.005,1,
Wang Donghai,089e0240-6c1b-4,PSU Chemical Eng. Dept.,Food Security Challenge - Plant Micropropagation Bioreactor that is Low-cost and Easily Deployed,0,0,T R 11:15 am-1:10 pm,M E 440.005,1,
Wang Donghai,3a9e0751-fce4-4,The Boeing Company 1,Aircraft Gearbox Lubrication Passage Inspection,0,0,T R 11:15 am-1:10 pm,M E 440.005,1,
Zoubeida Ounaies,fbb2c613-e03c-4,PSU Center for Biodevices,Design of test fixtures for protective devices used in endoscopic skull surgery,1,1,T R 8:00 am-9:55 am,M E 440.002,1,
Zoubeida Ounaies,11cb5989-0c5e-4,PSU Convergence Center for Living Multifunctional Material Systems (LiMC2) 1,Fabrication of a three - terminal neuromorphic material test bed,0,0,T R 8:00 am-9:55 am,M E 440.002,1,
Zoubeida Ounaies,7add3a74-85a1-4,PSU Convergence Center for Living Multifunctional Material Systems (LiMC2) 2,Snap-through facade design: Exploring bi-stability for kinetic building shadings,0,0,T R 8:00 am-9:55 am,M E 440.002,1,
Zoubeida Ounaies,280b1219-7956-4,PSU Convergence Center for Living Multifunctional Material Systems (LiMC2) 3,Printing of bio-composites using Direct Ink Writing,0,0,T R 8:00 am-9:55 am,M E 440.002,1,
Zoubeida Ounaies,bcc3923e-6dfd-4,PSU School of Visual Arts (SOVA),DIY Dye Cart 2.0,0,0,T R 8:00 am-9:55 am,M E 440.002,1,
